user,assistant,category,format
"What metrics do we use to evaluate a team's pressing?","We evaluate team pressing with Classic PPDA, Pressing Chains Per Match, Regains In Opp. Half Per Match, Opp. Long Balls Forced Per Match, Press Break Rate In Opp. Half, Opp. Goals After Broken Press Per Match, Opp. Pass Accuracy Under Pressure, and Opp. Line-Breaking Pass Rate Under Pressure. We also provide the percentage of out-of-possession time spent in a high or medium block as contextual information about the team's defensive positioning preference. Together, these describe how often a team presses high, how much they disrupt build-up, and how vulnerable they are when opponents escape the press.",general,qa
"What is team pressing in this model?","In this model, team pressing is about how often a side starts pressure sequences high up the pitch, how much they disrupt the opponent's build-up, and what happens if the opponent escapes. The focus is on the opposition half and on what the opponent is still able to do under pressure.",general,qa
"What does Opp. mean in the pressing metrics?","Opp. means the metric is describing the opposition rather than the selected team. For example, Opp. Pass Accuracy Under Pressure tells you how well the opponent still passes when this team is pressing.",general,qa
"Explain Classic PPDA and how to interpret it in a pressing analysis.","Classic PPDA measures opponent completed passes in the opposition's 60% of the pitch divided by this team's meaningful pressure or pressing defensive actions in the same zone. Lower is better. It is a proxy for how quickly the team intervenes in opponent build-up. Low values fit teams that engage early and stop opponents from circulating comfortably; high values fit teams that allow more passing before they intervene.",ppda,qa
"Explain Pressing Chains Per Match and how to interpret it in a pressing analysis.","Pressing Chains Per Match measures how often a team starts pressing sequences in the opposition half. Higher is better. It is mainly a pressing volume metric rather than a pure quality metric. High values fit teams that engage opponents high up the pitch often; low values suggest a more conservative approach or less frequent high pressing.",chains_pm,qa
"Explain Regains In Opp. Half Per Match and how to interpret it in a pressing analysis.","Regains In Opp. Half Per Match measures how often the team wins the ball back in the opposition half through defensive pressure actions. Higher is better. It is a direct outcome metric for how often the press ends in winning the ball high. High values fit teams whose press frequently ends with immediate ball wins near the opponent's goal.",recovery_opp_half_pm,qa
"Explain Opp. Long Balls Forced Per Match and how to interpret it in a pressing analysis.","Opp. Long Balls Forced Per Match measures how often the team's pressing chains force the opponent into a long or high pass. Higher is better. It captures whether the press pushes the opponent away from short controlled build-up. High values indicate the team is making short build-up uncomfortable; low values suggest the opponent finds shorter exits more often.",force_long_ball_pm,qa
"Explain Press Break Rate In Opp. Half and how to interpret it in a pressing analysis.","Press Break Rate In Opp. Half measures the share of pressing chains in the opposition half that end with the press being broken. Lower is better. It is one of the clearest quality metrics because it looks at success rate. Low values fit teams whose high press holds together structurally; high values fit teams that press high but get broken too often.",press_break_rate_opp_half,qa
"Explain Opp. Goals After Broken Press Per Match and how to interpret it in a pressing analysis.","Opp. Goals After Broken Press Per Match measures how many goals the opponent scores per match after escaping the press. Lower is better. It is a consequence metric rather than a pure pressure metric. It should be read with press break rate: some teams do get broken, but the really vulnerable teams are the ones that also concede goals once that happens.",lead_to_goal_after_broken_pm,qa
"Explain Opp. Pass Accuracy Under Pressure and how to interpret it in a pressing analysis.","Opp. Pass Accuracy Under Pressure measures the opponent's pass completion rate on attempts linked to this team's pressure actions in the opposition half. Lower is better. It tells you how cleanly the opponent still circulates the ball while being pressed high. Low values fit teams that make even simple passing harder during the press.",pass_accuracy_under_pressure,qa
"Explain Opp. Line-Breaking Pass Rate Under Pressure and how to interpret it in a pressing analysis.","Opp. Line-Breaking Pass Rate Under Pressure measures the share of opponent under-pressure pass attempts linked to pressure actions in the opposition half that successfully break at least one defensive line. Lower is better. It is one of the strongest quality metrics because it looks at whether opponents can really play through the press. Low values fit teams whose pressure protects defensive lines well.",line_breaking_pass_rate_under_pressure,qa
"What does it imply if a team has a low Classic PPDA and high Regains In Opp. Half Per Match?",That usually describes a team that presses aggressively and turns that pressure into direct ball wins high up the pitch. It fits a side that engages early and often succeeds in recovering possession in advanced areas.,quality_profile,qa
"What does it imply if a team has many Pressing Chains Per Match but also a high Press Break Rate In Opp. Half?","That usually describes a team that presses high often but does not control those moments well enough. The team is proactive, but the quality of the press is inconsistent because opponents escape too often.",quality_profile,qa
"What does it imply if a team forces many long balls but still allows a high Opp. Pass Accuracy Under Pressure?","That suggests the press can disrupt some build-up phases but does not make all opponent passing uncomfortable. The team may be good at forcing direct exits in some situations, but not consistently strong at disrupting short passing under pressure.",quality_profile,qa
"What does it imply if a team has a low Press Break Rate In Opp. Half and a low Opp. Line-Breaking Pass Rate Under Pressure?",That is a strong sign of pressing quality. It suggests the team is difficult to play through and usually keeps the opponent in front of the press rather than letting them break lines and escape.,quality_profile,qa
"What does it imply if a team has a low Press Break Rate In Opp. Half but still concedes many Opp. Goals After Broken Press Per Match?","That suggests the press usually works, but the few times it does fail are very costly. It points to a team whose rest defence or recovery structure behind the press may be fragile in the worst moments.",quality_profile,qa
"Explain the high/medium block percentage and what it tells us about a team's pressing.","The high/medium block percentage measures the share of a team's total out-of-possession time spent defending in a high or medium block rather than a low block. Neither higher nor lower is inherently better — it is a tactical preference, not a quality metric. Teams with a high value tend to hold a higher line and engage opponents further from their own goal, which usually pairs with more aggressive pressing. Teams with a low value tend to sit deeper and absorb pressure. It should be read alongside pressing metrics but not judged as good or bad on its own.",high_medium_block_pct,qa
"What does it imply if a team has a high high/medium block percentage but a high Press Break Rate?","That suggests the team tries to defend high up the pitch but struggles to contain opponents once the press starts. They commit to a high line but get broken too often, which can leave space behind the defence.",quality_profile,qa
"What does it imply if a team has a low high/medium block percentage but a low Classic PPDA?","That is an unusual combination. It could suggest the team picks its moments to press very selectively — when they do press high they are intense and aggressive, but most of the time they prefer to sit in a deeper block.",quality_profile,qa
