Unnamed: 0,user,assistant,category,format
0,What metrics do we use to evaluate a team's pressing?,"We evaluate team pressing with Classic PPDA, Pressing Chains Per Match, Regains In Opp. Half Per Match, Shot Rate After High Regain, Opp. Long Balls Forced Per Match, Press Break Rate In Opp. Half, Opp. Goals After Broken Press Per Match, Opp. Pass Accuracy Under Pressure, and Opp. Line-Breaking Pass Rate Under Pressure. Together, these metrics describe how often a team presses high, how much they disrupt build-up, how well they turn high regains into attacks, and how vulnerable they are when opponents escape the press.",general,qa
1,What is team pressing in this model?,"In this model, team pressing is about how often a side starts pressure sequences high up the pitch, how much they disrupt the opponent's build-up, and what happens if the opponent escapes. The focus is on the opposition half and on what the opponent is still able to do under pressure.",general,qa
2,What does Opp. mean in the pressing metrics?,"Opp. means the metric is describing the opposition rather than the selected team. For example, Opp. Pass Accuracy Under Pressure tells you how well the opponent still passes when this team is pressing.",general,qa
3,What does Classic PPDA measure?,Classic PPDA here measures opponent completed passes in the opposition's 60% of the pitch divided by this team's meaningful pressure or pressing defensive actions in the same zone. It is a proxy for how many passes the opponent is allowed before the press produces a real defensive action.,ppda,qa
4,What does a high value in Classic PPDA mean?,A high Classic PPDA means the opponent is allowed to complete more passes before the press creates a meaningful defensive action. That usually points to a less aggressive or less effective high press.,ppda,qa
5,What does a low value in Classic PPDA mean?,A low Classic PPDA means the team interrupts the opponent after fewer passes in the high block. That usually points to a more aggressive and effective press.,ppda,qa
6,How should I interpret Classic PPDA in a pressing context?,Classic PPDA is mainly a pressure intensity metric. Low values fit teams that engage quickly and stop opponents from circulating the ball comfortably in advanced build-up zones; high values fit teams that allow more passing before they intervene.,ppda,qa
7,Is a higher or lower value better for Classic PPDA?,"Classic PPDA: Lower is better. In this dataset the median is 9.56, the upper quartile is around 10.29, the lowest example is Bournemouth at 7.58, and the highest is Ipswich Town at 12.10.",ppda,qa
8,What does Pressing Chains Per Match measure?,Pressing Chains Per Match measures how often a team starts pressing sequences in the opposition half. It is mainly a pressing volume metric rather than a pure quality metric.,chains_pm,qa
9,What does a high value in Pressing Chains Per Match mean?,A high value suggests the team engages opponents high up the pitch often and tries to create frequent pressure moments in the opposition half. It usually fits a proactive pressing style.,chains_pm,qa
