,user,assistant,category,format
0,What metrics do we use to evaluate a team's build-up?,"We evaluate team build-up with first_line_break_pct_buildup, progression_to_midfield_pct, buildup_that_ends_with_finish_pct, turnover_pct_buildup, opp_box_entries_within_7s_after_turnover and opp_shot_probability_within_7s_after_turnover. Together, these metrics describe how efficient a team progress the ball forward, how secure they are in controlling the ball without losing it, and how good they are at avoiding opposition chances after turnovers. ",general,qa
1,What is a team build-up?,"Team build-up describes what happens when the team are having possession in their own third. In this context, the focus is on the ability to move the ball forward up the pitch, break opposition pressing lines, and how to stop opposition after a turnover if they lose the ball.",general,qa
2,What does buildup that ends with finish pct measure?,"Buildup that ends with finish measures the share of build-ups that team manage to progress into an attacking, into a finish phase. A finish phase means the ball is either in final third, or in middle third with the defensive line close to their penalty area.",buildup_that_ends_with_finish_pct,qa
3,What does a high value in buildup that ends with finish pct mean?,"A high value tells the team manage to move the ball forward with control, consistently. It give the team a good foundation for creatin chances in the later stage.It also indicates a team which might be able to break the high press, when the opponent press high.",buildup_that_ends_with_finish_pct,qa
4,What does a low value in buildup that ends with finish pct measure?,"A low value suggests the team less often manage to progress the ball into attack. This tells they lack the ability to keep the ball during progression from the team, and possession is disturbed by the opposition.  ",buildup_that_ends_with_finish_pct,qa
5,How should I interpret buildup that ends with finish pct in a team build-up context?,"High values fit teams that are strong in progressing the ball from build-up, through midfield and into attack; low values fit teams fail to progress into attack. This is a metric for progression, it does not say anything about the number of shots for the team. ",buildup_that_ends_with_finish_pct,qa
6,Is a higher or lower value better for buildup that ends with finish pct?,buildup that ends with finish pct: Higher is better. In this dataset the lowest example in the sample is Crystal Palace and the highest is Manchester City.,buildup_that_ends_with_finish_pct,qa
7,What does build-ups that break the first defensive line of pressure measure?,first line break pct buildup measures how often the team breaks the opponent’s first defensive line during build-up.,first_line_break_pct_buildup,qa
8,What does a high value in build-ups that break the first defensive line of pressure mean?,A high value suggests the team is comfortable escaping initial pressure and finding routes through the first wave of the press.,first_line_break_pct_buildup,qa
9,What does a low value in first line break pct buildup mean?,"A low value suggests the team can struggle to play through the first pressure line. They might recycle the ball more without breaking the first pressure or go long under stress. As the metric measure passes, teams might have also used carries to progresss thorugh the pressure.",first_line_break_pct_buildup,qa
10,How should I interpret build-ups that break the first defensive line of pressure in a build-up context?,High values fit press-resistant build-up; low values fit teams that take less risk in their build-up passing.  Some teams break the first line often but take big risks to do it. Effective teams which break lines often are making it difficult for the opposition to press high.,first_line_break_pct_buildup,qa
11,Is a higher or lower value better for build-ups that break the first defensive line of pressure?,"first line break pct: Higher is usually better. In this dataset the median is 27.43, upper-quartile is around 30.60, and top-end is around 32.15. The lowest example in the sample is Nottingham and the highest is Tottenham.",first_line_break_pct_buildup,qa
12,What does Turnover % in Build-up measure?,"Turnover % in Build-up measures the share of team build-ups that ends with a turnover, where opponent win the ball.",second_last_line_break_pct_buildup,qa
13,What does a high value in Turnover % in Build-up mean?,A high value suggests the team is loose or overly aggressive in possession and gives the ball away too often in build-up. ,second_last_line_break_pct_buildup,qa
14,What does a low value in Turnover % in Build-up mean?,A low value suggests the team is secure in build-up and protects possession well during progression in build-up. ,second_last_line_break_pct_buildup,qa
15,How should I interpret Turnover % in Build-up in a team build-up context?,High values fit risk-taking but unstable build-up; low values fit cleaner and safer ball progression. Some ambitious teams accept slightly higher turnover risk to gain more progression. Always pair this metric with line breaks and post-turnover exposure.,second_last_line_break_pct_buildup,qa
16,Is a higher or lower value better for Turnover % in Build-up?,"Turnover % in Build-up: Lower is better. In this dataset the median is 9.48, upper-quartile is around 10.24, and top-end is around 11.33. The lowest example in the sample is Liverpool and the highest is Ipswich Town.",second_last_line_break_pct_buildup,qa
17,What does Opponent opposition box entries shortly after turnovers measure?,Opponent Box Entries Within 7s After Turnover measures How often the opponent reaches the box quickly after the team loses the ball in build-up.,turnover_pct_buildup,qa
18,What does a high value in opposition box entries shortly after turnovers mean?,"A high value suggests the team is vulnerable immediately after losing possession in build-up, and team struggle to stop opponents from enter the the penalty area. So, a high value is a negative attribute.",turnover_pct_buildup,qa
19,What does a low value in opposition box entries shortly after turnovers mean?,"A low value suggests the team limits immediate damage after turnovers, either through quick recovery runs, counterpressure and the ability to stop opponents from moving the ball into the box. So, a low value is a good thing.",turnover_pct_buildup,qa
20,How should I interpret opposition box entries shortly after turnovers in a team build-up context?,"High values fit teams which loose the ball in dangerous positions during build-up, and teams which struggle to recover after the turnover. Low values fit teams that are better protected behind the ball, which loose the ball in less dangerous positions, and recover better when the turnover happens. This is a consequence metric. It should be read together with turnover rate and the team’s overall build-up play.",turnover_pct_buildup,qa
21,Is a higher or lower value better for opposition box entries shortly after turnovers?,"Opponent Box Entries Within 7s After Turnover: Lower is better. In this dataset the median is 0.0835, upper-quartile is around 0.0998, and top-end is around 0.1340. The lowest example in the sample is Nottingham and the highest is Aston Villa.",turnover_pct_buildup,qa
22,What does Opponent Shot Probability Within 7s After Turnover measure?,Opponent Shot Probability Within 7s After Turnover measures How likely the opponent is to get a shot quickly after a build-up turnover. The metric measure the average probability for a shot within 7 sec from the turnover.,opp_box_entries_within_7s_after_turnover,qa
23,What does a high value in Opponent Shot Probability Within 7s After Turnover mean?,"A high value suggests turnovers are especially costly for the team, with losses often turning into high-value transitions against. So, a high value is a negative thing.",opp_box_entries_within_7s_after_turnover,qa
24,What does a low value in Opponent Shot Probability Within 7s After Turnover mean?,"A low value suggests the team contains transitions well and prevents quick shots even when possession is lost. So, a low value is a good thing.",opp_box_entries_within_7s_after_turnover,qa
25,How should I interpret Opponent Shot Probability Within 7s After Turnover in a team build-up context?,"High values fit loss in possession at a bad place, allowing opposition in good shooting positions, indicating a high risk, and less controlled build-up; low values fit controlled build-up with stronger defensive protection. A team can be secure in pure turnover rate but still be badly exposed when a turnover does happen.",opp_box_entries_within_7s_after_turnover,qa
